"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923979437,0.0600016226225327,-40.3775620375399,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.2019553477959,0.0724172021789708,44.2153970527974,0,0,"FAM46C","54855","family with sequence similarity 46 member C"
"ENSG00000159176",5692.46278267679,-2.31373756502275,0.0575533670062131,-40.2016021890252,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137022664,0.0538449081882872,-38.2511817649393,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801937252128,0.0431679924276869,-43.7365572578804,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200671343,0.0439354376987166,-37.5503714797775,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.34450833210247,0.0690717578386371,48.4207791542788,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794573896,0.0617086157991194,38.7674867562513,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83225777686043,0.0388966420807806,47.1058085953845,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649933866,0.0419165003014013,-43.9933316493269,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046257413,0.0552681294722121,41.0015769343791,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.2625254655062,0.0552183317803819,40.9741727530789,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832560139,0.075785035892757,-42.1726834057863,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295762946,0.0543254355347487,38.2834106557538,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810356449,0.0505768637235146,-38.3261823857073,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205040474,0.0462973440475749,44.0060243695871,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949490813,0.0435953850774012,44.7421095477201,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169445142,0.0653981305372795,38.5901198355021,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825311453818,0.0865185437332325,44.5945221458483,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774842293,0.0581377324825169,-41.3963126124099,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912748515,0.0696221041120337,-42.0008726363633,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576629812,0.0404435492370569,-52.9712601072897,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041301013,0.06709755250647,37.7738131769522,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117833819,0.035859028273679,-37.3387468316028,3.86092569441051e-305,2.37093012017592e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567972,0.0447581305579538,37.2705368808859,4.92682862949799e-304,2.90446401366166e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073535915,0.0488625148277627,36.9471514457009,8.09245147010515e-299,4.58717499101576e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005945,0.0550460861441871,36.8352635416855,5.03528376842829e-297,2.74851896959616e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702361364,0.0693613899879102,36.6909749654271,1.01727936825396e-294,5.35452261761676e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670760229,0.0589063487528545,-36.4661323113869,3.81878874039442e-291,1.94073477434252e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656939631,0.121636384894607,36.4540311950107,5.93859387513722e-291,2.91743321772574e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084197777,0.060821961379199,-36.2808234384307,3.24655084330669e-288,1.54347310737593e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600345088,0.0694013576274439,36.2707026131067,4.68802970832465e-288,2.15913068254027e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338580365,0.0499749036408223,-36.2228489486261,2.65989476415597e-287,1.18792512224638e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031312,0.0535351853326533,36.1446988235767,4.50696710958692e-286,1.95363768414977e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200633724,0.0781715123249126,-36.1399175008272,5.35785964881372e-286,2.2123232595181e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304145182,0.090971004380647,36.1396805920199,5.40396507956653e-286,2.2123232595181e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587691392,0.0487932049211162,-35.7887103283556,1.65488163711737e-280,6.59179609941506e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202051862,0.0656155298229242,35.3236806404459,2.54308682024877e-273,9.86316146232272e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.30515285900216,0.0653960011944056,-35.249140878653,3.53652012701807e-272,1.3364418879998e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584700177,0.074374783037635,-35.1930552278355,2.55370736967555e-271,9.40913480356955e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506770166,0.0806594359668442,35.1779681284656,4.34411294363484e-271,1.56154967227537e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473639558,0.12631644322813,35.1424931145228,1.51369470681261e-270,5.31162680690578e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014083288,0.0861136730177474,-34.9774900463498,4.94851816647977e-268,1.69607583110649e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849878477,0.0690680729504838,-34.9512936391815,1.2376229126497e-267,4.1454742015071e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042983588,0.0676832768860428,34.8366766255389,6.77562193839352e-266,2.21909146951208e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927588267,0.0497514637493769,34.8299154495605,8.57661221094958e-266,2.74787197315163e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019564245,0.0588365440047018,34.2452166374937,5.13843459801737e-257,1.6112818958634e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098961119,0.0928701293936024,-34.2039039931608,2.1154668646095e-256,6.49536471887807e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757631671,0.0569242462791552,-33.8997475145023,6.71897391017893e-252,2.02090280588198e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.409890198399,0.0418063492390823,33.7243080072866,2.54549544721766e-249,7.50310238021879e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888550453,0.061132128319763,33.6829248727278,1.02811518584878e-248,2.97105129589006e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961550154,0.0460243826097333,33.6071779303875,1.31771513725583e-247,3.73470878709162e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784330791,0.0564684076645723,-33.5341108705629,1.53479242164153e-246,4.26788126606658e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.7035465919101,0.0509601094526051,-33.4290214485206,5.19398714283189e-245,1.41757375020475e-242,"PLS3","5358","plastin 3"
